datetime,in_avg_response_time,in_throughput,in_ipr,out_avg_response_time_main.bal:125:40,out_avg_response_time_main.bal:100:42,out_avg_response_time_main.bal:75:44,out_throughput_main.bal:125:40,out_throughput_main.bal:100:42,out_throughput_main.bal:75:44,out_inprogress_requests_main.bal:75:44,out_inprogress_requests_main.bal:100:42,out_inprogress_requests_main.bal:125:40,cpu_usage_mean,memory_usage_mean
2020-06-08 02:14:40+00:00,9.556399717794367,377.37392094502496,5.0,2.8684600156513365,2.980817007227174,2.9532619573596723,377.37392094502496,377.1921853702863,377.1921853702863,2.0,2.0,0.0,149372310678.42856,212382866.2857143
2020-06-08 02:14:50+00:00,9.417350048897411,386.18902156808286,5.0,2.8565247231543625,2.915420156242511,2.9377639235561945,386.18902156808286,386.28158844765335,386.28158844765335,2.0,2.0,1.0,156324651285.42856,212651446.85714287
2020-06-08 02:15:00+00:00,9.4779638693088,381.9951338199513,5.0,2.8533219608398204,2.9409648036303637,2.9377889228773584,381.9951338199513,382.26547715598815,382.08524826529685,0.0,0.0,4.0,162863437718.0,212773156.57142857
2020-06-08 02:15:10+00:00,9.625484410205104,378.2760904532122,5.0,2.918642108304152,3.0198806593241554,2.9273221740870428,378.2760904532122,377.9922414608761,378.2760904532122,2.0,3.0,1.0,169161399952.16666,213129216.0
2020-06-08 02:15:20+00:00,9.616572671390175,378.8061082832022,3.0,2.9539829623747864,2.9840883790322583,2.9326422421206937,378.8061082832022,378.7135585377141,378.8061082832022,0.0,2.0,0.0,175524256360.57144,213350692.57142857
2020-06-08 02:15:30+00:00,9.484638071132764,380.5859447431857,6.0,2.878951923770092,2.9731558451801363,2.8675275672514617,380.6786575190061,380.8640830706471,380.4932319673652,0.0,0.0,2.0,182520125656.0,213692416.0
2020-06-08 02:15:40+00:00,9.732087753298481,372.2546566583263,5.0,2.9805582852165258,2.992609314492032,2.999178764500871,372.3473264757669,372.16198684088585,372.2546566583263,2.0,0.0,0.0,189365532115.0,214132736.0
2020-06-08 02:15:50+00:00,9.544971953827464,379.08797789037305,5.0,2.9201290760631835,2.9255278841389356,2.919678241864983,379.08797789037305,379.27222478120683,379.3643482266237,0.0,0.0,0.0,195960826568.66666,214384640.0
2020-06-08 02:16:00+00:00,9.53612068577396,381.32743362831854,7.0,2.9117452934757373,2.9392575983283025,2.940774388901788,381.15044247787614,381.15044247787614,381.15044247787614,1.0,2.0,2.0,202746557804.7143,214605824.0
2020-06-08 02:16:10+00:00,9.508482633513452,381.73562753326644,7.0,2.8966965340966255,2.931023589084076,2.9427180751006112,381.7371328580542,381.64713195804524,381.7371328580542,2.5,1.0,1.0,209264026868.16666,214945792.0
2020-06-08 02:16:20+00:00,9.480844581252944,382.14382143821433,7.0,2.8816477747175138,2.9227895798398493,2.944661761299435,382.32382323823236,382.14382143821433,382.32382323823236,4.0,0.0,0.0,215813600625.57144,215200329.14285713
2020-06-08 02:16:30+00:00,9.697056521318787,373.3802295446131,7.0,2.9943617860684184,2.9987783109514368,2.973147076103124,373.3802295446131,373.56534616808585,373.3802295446131,0.0,2.0,2.0,222405324971.5,215532885.33333334
2020-06-08 02:16:40+00:00,9.47282457803468,383.02583025830256,7.0,2.9685917406069366,2.8850147844412333,2.891874820809248,383.02583025830256,383.02583025830256,383.02583025830256,0.0,0.0,2.0,228765604698.16666,215850325.33333334
2020-06-08 02:16:50+00:00,9.532751110490528,379.43425780890084,7.0,2.8878461233608546,2.9554321658974985,2.9656280063137443,379.43425780890084,379.34211738689766,379.43425780890084,2.0,1.0,0.0,235119127406.16666,216068096.0
2020-06-08 02:17:00+00:00,9.677117308452793,371.32892804698974,7.0,2.925191545724172,2.9614014015319987,3.00479012657602,371.32892804698974,371.42070484581495,371.23715124816454,1.0,1.0,1.0,241449236859.66666,216274944.0
2020-06-08 02:17:10+00:00,9.734164349627793,372.1488595438176,7.0,3.0012980679900743,3.035777628848064,2.9152317407499377,372.1488595438176,371.96417028349805,371.8718256533383,3.0,0.0,0.0,248671798960.875,216733696.0
2020-06-08 02:17:20+00:00,9.684282952333911,372.56164887743836,7.0,2.9444926514328063,2.9757342968904243,2.9903374284304047,372.46963562753035,372.8376886271623,372.8376886271623,0.0,0.0,4.0,255146903252.83334,216927573.33333334
2020-06-08 02:17:30+00:00,9.562079502572498,378.44056996194354,7.0,2.9303082548515316,2.9375549506432748,2.892601897357961,378.5290733693248,378.3520665545623,378.5290733693248,2.0,2.0,0.0,261643856775.5,217298432.0
2020-06-08 02:17:40+00:00,9.532336703272726,379.24059942998986,5.0,2.8941484363636367,2.9726061243636366,2.951720154499151,379.24059942998986,379.24059942998986,379.0567251999631,0.0,0.0,2.0,268310143238.5,217746090.66666666
2020-06-08 02:17:50+00:00,9.536807731594344,380.6254059571309,7.0,2.8847156316431013,2.9615771286863266,2.9372044466374265,380.6254059571309,380.71819615848574,380.8109863598404,0.0,1.0,0.0,274863650488.16666,218058752.0
2020-06-08 02:18:00+00:00,9.55094692792351,378.45611430692145,7.0,2.9195683123314535,2.980506897008337,2.9346536521206184,378.45611430692145,378.36333271478935,378.45611430692145,2.0,2.0,0.0,280994914544.8571,218236050.2857143
2020-06-08 02:18:10+00:00,10.030407884176764,260.63533345717997,5.0,2.999591450463293,3.0612706875891584,3.1392675292439374,260.63533345717997,260.44956344046074,260.44956344046074,0.0,2.0,0.0,287886621417.7143,218548516.57142857
2020-06-08 02:18:20+00:00,5013.991228506117,173.8013171255746,5.666666666666667,2002.9240339669755,2003.9269641806154,2003.0941908528293,173.8013171255746,173.69968452482237,173.67747044776175,0.6666666666666667,1.3333333333333333,0.6666666666666667,289695560628.1429,218331428.57142857
2020-06-08 02:18:30+00:00,10017.952049128058,86.9673007939692,6.333333333333334,4002.848476483488,4004.7926576736418,4003.049114176415,86.9673007939692,86.94980560918404,86.90537745506276,1.3333333333333335,0.6666666666666665,1.3333333333333335,289710263651.2857,218324992.0
2020-06-08 02:18:40+00:00,15021.91286975,0.13328446236379995,7.0,6002.772919,6005.658351166668,6003.0040375,0.13328446236379995,0.19992669354569992,0.13328446236379995,2.0,0.0,2.0,289728685584.3333,218333184.0
2020-06-08 02:18:50+00:00,16514.260075625,0.17250714754861607,6.0,6001.348345,6004.850126333334,6004.630083624999,0.17250714754861607,0.152895804956208,0.17250714754861607,1.0,1.0,1.0,289758486854.4286,218372388.57142857
2020-06-08 02:19:00+00:00,18006.6072815,0.21172983273343216,5.0,5999.923771,6004.0419015,6006.25612975,0.21172983273343216,0.10586491636671608,0.21172983273343216,0.0,2.0,0.0,289774092045.5,218337280.0
2020-06-08 02:19:10+00:00,18004.4902535,0.1667551313091748,6.0,5999.85952975,6003.852315,6007.429054374999,0.1667551313091748,0.1747128880682755,0.1667551313091748,1.0,1.0,1.0,289801543320.75,218402816.0
2020-06-08 02:19:20+00:00,18002.3732255,0.12178042988491747,7.0,5999.7952884999995,6003.6627284999995,6008.601979,0.12178042988491747,0.24356085976983494,0.12178042988491747,2.0,0.0,2.0,289828997124.5714,218362441.14285713
2020-06-08 02:19:30+00:00,18014.5328705,0.18327425606349657,6.0,6003.655319125,6006.67507225,6007.075967625,0.18327425606349657,0.1829724504454364,0.18327425606349657,1.0,1.0,1.0,289850392502.8333,218345472.0
2020-06-08 02:19:40+00:00,18026.6925155,0.24476808224207566,5.0,6007.51534975,6009.687416,6005.54995625,0.24476808224207566,0.12238404112103783,0.24476808224207566,0.0,2.0,0.0,289872981609.1667,218345472.0
2020-06-08 02:19:50+00:00,18007.2854755,0.12270691453463403,5.0,6004.1199289999995,5999.8282675,6001.4822375,0.12270691453463403,0.12270691453463403,0.12270691453463403,0.0,2.0,0.0,289895032983.5714,218406326.85714287
2020-06-08 02:20:00+00:00,18009.93320275,0.12269938696488158,6.0,6003.14465375,6003.1060695,6002.17312825,0.12269938696488158,0.18404531666244617,0.12269938696488158,1.0,1.0,1.0,289917602952.5714,218392868.57142857
2020-06-08 02:20:10+00:00,18012.58093,0.12269185939512915,7.0,6002.1693785,6006.3838715,6002.864019,0.12269185939512915,0.2453837187902583,0.12269185939512915,2.0,0.0,2.0,289947233894.1429,218488832.0
2020-06-08 02:20:20+00:00,18010.349931124998,0.18388744063439444,6.0,6001.142362625,6005.2640485,6003.062377,0.18388744063439444,0.1839626148635441,0.18388744063439444,1.0,1.0,1.0,289974470478.0,218492928.0
2020-06-08 02:20:30+00:00,18008.11893225,0.2450830218736597,5.0,6000.11534675,6004.1442255,6003.260735,0.2450830218736597,0.12254151093682987,0.2450830218736597,0.0,2.0,0.0,290003662139.1429,218384091.42857143
2020-06-08 02:20:40+00:00,18018.1018425,0.12267680794945715,5.0,6002.0340985,6010.8854285,5995.703192,0.12267680794945715,0.12267680794945715,0.12267680794945715,0.0,2.0,0.0,290023854061.3333,218389162.66666666
2020-06-08 02:20:50+00:00,18013.651460499997,0.12255664701115343,6.0,6004.36277175,6008.738289999999,6000.774481750001,0.12255664701115343,0.1837748900475783,0.12255664701115343,1.0,1.0,1.0,290042624729.4286,218370048.0
2020-06-08 02:21:00+00:00,18009.2010785,0.12243648607284972,7.0,6006.691445,6006.5911515,6005.8457715,0.12243648607284972,0.24487297214569945,0.12243648607284972,2.0,0.0,2.0,290062635804.7143,218388772.57142857
2020-06-08 02:21:10+00:00,18013.839022624998,0.14982752042776773,7.0,6005.6407985000005,6006.9053056249995,6004.179931375,0.14982752042776773,0.2110457634641926,0.14982752042776773,2.0,0.0,2.0,290080225455.2857,218374144.0
2020-06-08 02:21:20+00:00,18018.47696675,0.17721855478268575,7.0,6004.590152000001,6007.21945975,6002.51409125,0.17721855478268575,0.17721855478268575,0.17721855478268575,2.0,0.0,2.0,290098648057.1667,218374144.0
